SC7425  青岛   海口     周136   1920    2120    DH4 1630
MU5341  上海   广州     天天班  1420    1615    M90 1280
MH1890  青岛   上海     周13467 1630    2210    DF8 1390
9C6755  哈尔滨 大兴安岭 周24    1720    1840    DK1 650
9C6929	石家庄	包头	周2	    1405 	1535 	FE3	1320
9C6929	石家庄	包头	周26	1405 	1535 	FE4	1200
9C8727	厦门	长春	周1357	1010 	1350 	FE5	1310
9C6481	东营	长春	周1357	1000 	1145 	FE6	2900
9C6882	福州	大连	天天班	2055 	2320 	FE7	450
9C6481	深圳	东营	周1357	620 	915 	FE8	1200
9C8737	上海	东营	天天班	1935 	2125 	W2	1270
9C6687	上海	东营	天天班	815 	1015 	W3	890
9C6482	长春	东营	周1357	2000 	2145 	W4	750
9C6881	大连	福州	天天班	1725 	2005 	W5	340
9C7092	济南	大连	周2	2055 	2215 	W6	12
9C6535	上海	大连	周123457	2135 	2340 	W7	340
9C8585	石家庄	呼和浩特	周135	650 	800 	W8	510
9C8920	沈阳	杭州	周2	1655 	1935 	W9	1120
9C6161	兰州	泉州(晋江)	周1357	820 	1130 	W10	2390
9C8711	南阳	兰州	周46	1305 	1455 	RT5	1450
9C8711	厦门	南阳	周46	1010 	1220 	RT6	2130
9C8712	兰州	南阳	周46	1600 	1750 	RT7	2310
9C8712	南阳	厦门	周46	1845 	2050 	RT8	4510
9C6307	合肥	湛江	周357	935 	1210 	RT9	1100
9C8719	石家庄	兰州	周123456	1330 	1530 	RT10	1320
9C8719	石家庄	兰州	天天班	1330 	1530 	RT11	980
9C8513	扬州(泰州)	兰州	天天班	1550 	1840 	T46	990
9C6487	上海	兰州	周123457	2010 	2335 	T47	670
9C6162	泉州(晋江)	兰州	周1357	1215 	1545 	T48	430
9C6261	揭阳(潮汕)	南京	周1	1455 	1705 	T49	610
9C8850	沈阳	上海	天天班	1900 	2200 	T50	820
9C6545	兰州	杭州	周3567	1500 	1750 	T51	940
9C8693	揭阳(潮汕)	合肥	周23567	800 	955 	T52	730
9C8694	银川	合肥	周23567	1400 	1610 	T53	430
9C6262	南京	揭阳(潮汕)	周1	1805 	2000 	T54	1080
9C8738	东营	上海	天天班	2210 	2355 	T55	1090
9C6688	东营	上海	天天班	1100 	1255 	T56	2070
9C7091	大连	济南	周2	1845 	1950 	T57	1060
9C8514	兰州	扬州(泰州)	天天班	1215 	1455 	Y78	810
9C8849	上海	沈阳	周2467	1450 	1725 	Y79	1100
9C8696	宁波	沈阳	周3	1100 	1335 	Y80	1020
9C8919	杭州	沈阳	周2	2110 	5 	Y81	2100
9C8720	兰州	石家庄	周123456	1620 	1815 	Y82	1010
9C8720	兰州	石家庄	天天班	1620 	1815 	Y83	2100
9C8586	呼和浩特	石家庄	周135	850 	955 	Y84	1300
9C6930	包头	石家庄	周246	1620 	1740 	Y85	510
9C6930	包头	石家庄	周2	1620 	1740 	Y86	670
MA0011 青岛 杭州 天天班 1900 2130 K30 1700
MA0011 青岛 杭州 天天班 1900 2130 K30 1700
